time [s],concentration of A [mol/m3],concentration of B [mol/m3],concentration of R [mol/m3],concentration of S [mol/m3],concentration of T [mol/m3],rate of reaction of A [mol/m3·s],rate of reaction of B [mol/m3·s],rate of reaction of R [mol/m3·s],rate of reaction of S [mol/m3·s],rate of reaction of T [mol/m3·s],reactor temperature [K],jacket temperature [K],reactor setpoint temperature,volume of reaction mixture [m3],viscosity of the reaction mixture [Pa·s],shaft power of the impeller [W],heat released by reaction [W],cumulative_heat_released [J],heat removed by cooling water [W],cumulative heat removed by cooling water [J],conversion [-],cooling water flowrate [m3/s],stage
1650.0,-8.067946350258769,0.1006443682492026,2.0567448948939,-0.03792997198898057,0.634676464468492,0.0,0.0,0.0,0.0,0.0,300.48677892853715,290.9770276451268,273,0.4950000000000001,1.011272471461516,3305.4982499844205,0.0,0.0,0.0,0.0,-67.41391477438812,3.662787989856473e-07,0
1700.0,1.0087078833696719,7.209486002551064,-1.5482381986240408,3.8103385640176466,2.082181089475494,0.0,0.0,0.0,0.0,0.0,297.2166375968496,290.03888655590356,273,0.51,1.013066364975679,3306.0158203599494,0.0,0.0,0.0,0.0,9.553559006114705,1.0098726425675677e-06,0
1750.0,1.3811413045740122,1.3403099863537715,3.267341921531881,4.450810447110182,-3.636975926925039,0.0,0.0,0.0,0.0,0.0,301.3996584035975,289.6117547570919,273,0.525,1.101405793766096,3330.663653717653,0.0,0.0,0.0,0.0,12.711689617207615,1.3315612625964804e-07,0
1800.0,-2.333504804425627,4.853762930991165,-0.5138100070443202,-10.299747706116921,5.063463302572591,0.0,0.0,0.0,0.0,0.0,298.9526706641651,286.4210627205337,273,0.54,0.8069508264269857,3240.985726827664,0.0,0.0,0.0,0.0,-18.787464106089363,7.426095032683562e-07,0
1850.0,-2.9628824309815687,8.0814634250972,-5.8049604699132775,3.667118370830571,1.1712223163543503,0.0,0.0,0.0,0.0,0.0,296.58962265295736,288.380803663225,273,0.555,0.9873141426086653,3298.5153174999323,0.0,0.0,-0.0,0.0,-24.124409275875205,-3.03608496500396e-07,0
1900.0,7.83455832135486,5.6703209333826345,5.2000743843259585,-3.829232585901754,-0.7901353124025078,0.0,0.0,0.0,0.0,0.0,296.4434974312926,289.6581189424256,273,0.5700000000000001,0.9195514749618438,3278.0027770846564,0.0,0.0,-0.0,0.0,67.4348499633929,-1.0755124638630937e-06,0
1950.0,-7.027564889998109,1.597177841690065,-2.7873804794882755,-16.498639037934943,-0.5428211179886453,0.0,0.0,0.0,0.0,0.0,296.626219964067,289.63675857411044,273,0.585,1.113579482518752,3333.9400767004327,0.0,0.0,0.0,0.0,-58.59177274900847,4.046873417321491e-07,0
2000.0,4.570304783518987,-1.7170188704700597,-12.527751527724824,4.919490565635369,3.383398133560486,0.0,0.0,0.0,0.0,0.0,295.0873178563195,281.8572285053889,273,0.6000000000000001,1.0333281353867232,3311.8122980375397,0.0,0.0,0.0,0.0,39.75489850556799,1.0686679449636148e-06,0
2050.0,1.3081030924093362,13.632520400263896,-3.064871358000918,3.7058278034826806,-10.912872324909088,0.0,0.0,0.0,0.0,0.0,301.40187751083016,289.9194180472037,273,0.615,1.0320460606225084,3311.4481730371626,0.0,0.0,-0.0,0.0,12.092346130603053,-1.2635668924227525e-06,0
2100.0,6.594775546359087,5.207382647490205,7.212448405447306,8.881230970191934,-5.656790535644229,0.0,0.0,0.0,0.0,0.0,297.5270029450425,289.8651952045611,273,0.63,0.8857463007353235,3267.3057742391725,0.0,0.0,-0.0,0.0,56.92184089949466,-8.016667674538713e-07,0
